品类1,品类2,关联度
category60,category165,19
category60,category58,82
category60,category285,61
category60,category151,49
category60,category258,33
category60,category153,169
category60,category178,29
category60,category127,50
category60,category156,50
category60,category271,83
category60,category188,514
category60,category63,1479
category60,category24,130
category60,category331,66
category60,category44,91
category60,category279,5539
category191,category173,98
category191,category272,14
category191,category266,36
category191,category280,18
category191,category263,22
category191,category194,26
category191,category188,42
category191,category63,164
category191,category331,27
category191,category279,200
category173,category137,192
category173,category279,16
category238,category86,17
category238,category307,45
category238,category60,544
category238,category173,14
category238,category272,232
category238,category279,153
category185,category86,31
category185,category307,295
category185,category60,636
category185,category191,15
category185,category173,4340
category185,category266,28
category185,category196,12
category185,category153,43
category185,category279,47
category266,category280,841
category266,category111,311
category266,category153,56
category266,category271,36
category266,category188,167
category266,category63,46
category266,category24,24
category266,category331,53
category266,category279,438
category280,category111,29
category280,category153,18
category280,category188,27
category280,category44,41
category280,category279,102
category111,category271,15
category111,category331,24
category263,category266,1030
category263,category280,336
category263,category194,14522
category263,category303,263
category263,category153,50
category263,category271,124
category263,category44,12
category263,category279,318
category150,category266,15
category150,category280,21
category172,category266,49
category172,category194,500
category172,category188,119
category172,category63,11
category194,category266,352
category194,category19,25
category194,category153,11
category194,category188,526
category194,category63,92
category194,category24,25
category194,category279,37
category104,category195,55
category104,category226,92
category104,category60,16
category104,category263,26
category104,category152,1613
category104,category276,2609
category104,category62,653
category104,category225,159
category104,category223,35
category104,category283,79
category104,category26,664
category104,category15,1121
category104,category17,3277
category104,category241,102
category104,category122,48
category104,category245,11
category104,category164,37
category104,category48,348
category104,category35,36
category104,category21,225
category104,category84,309
category104,category254,240
category104,category79,14
category104,category242,30
category104,category87,784
category104,category281,66
category104,category196,11
category104,category58,11
category104,category285,15
category104,category153,43
category104,category279,183
category104,category308,190
category104,category102,30
category104,category243,40
category104,category130,13
category104,category183,73
category104,category2,128
category104,category97,18
category104,category20,102
category104,category40,21
category104,category65,175
category104,category176,12
category104,category89,43
category104,category215,221
category152,category195,11
category152,category226,15
category152,category276,1833
category152,category62,2178
category152,category225,189
category152,category283,85
category152,category26,404
category152,category15,95
category152,category17,384
category152,category241,32
category152,category287,13
category152,category122,12
category152,category166,14
category152,category164,62
category152,category48,656
category152,category21,49
category152,category84,117
category152,category254,91
category152,category87,107
category152,category281,74
category152,category153,41
category152,category308,71
category152,category102,14
category152,category243,15
category152,category183,27
category152,category2,46
category152,category20,14
category152,category40,81
category152,category65,40
category152,category89,31
category276,category195,326
category276,category226,508
category276,category248,48
category276,category86,117
category276,category60,595
category276,category191,14
category276,category185,30
category276,category266,160
category276,category280,76
category276,category263,311
category276,category194,27
category276,category62,1212
category276,category225,2167
category276,category237,244
category276,category223,276
category276,category72,437
category276,category171,13
category276,category283,991
category276,category93,70
category276,category282,286
category276,category26,318
category276,category15,956
category276,category17,1349
category276,category241,295
category276,category287,336
category276,category122,299
category276,category143,46
category276,category43,11
category276,category250,45
category276,category166,80
category276,category245,197
category276,category203,130
category276,category164,1705
category276,category154,631
category276,category121,75
category276,category48,4628
category276,category35,366
category276,category21,2285
category276,category84,2900
category276,category254,2500
category276,category79,52
category276,category242,370
category276,category87,705
category276,category88,32
category276,category281,171
category276,category28,11
category276,category110,21
category276,category275,51
category276,category184,56
category276,category190,87
category276,category200,424
category276,category30,76
category276,category118,25
category276,category325,182
category276,category160,24
category276,category227,17
category276,category236,33
category276,category273,155
category276,category56,16
category276,category233,12
category276,category49,11
category276,category252,12
category276,category169,28
category276,category196,113
category276,category253,90
category276,category58,196
category276,category285,143
category276,category151,118
category276,category258,14
category276,category153,494
category276,category188,114
category276,category63,14
category276,category24,35
category276,category279,1246
category276,category308,2302
category276,category102,1186
category276,category243,1021
category276,category130,895
category276,category183,834
category276,category300,67
category276,category2,1090
category276,category97,300
category276,category20,1645
category276,category40,1331
category276,category65,1607
category276,category239,77
category276,category257,40
category276,category176,28
category276,category89,753
category276,category215,190
category276,category71,16
category62,category195,57
category62,category226,49
category62,category60,31
category62,category266,33
category62,category225,705
category62,category72,63
category62,category283,853
category62,category26,324
category62,category15,23
category62,category17,217
category62,category241,659
category62,category122,570
category62,category166,14
category62,category245,33
category62,category164,320
category62,category154,16
category62,category48,1032
category62,category21,265
category62,category84,435
category62,category254,415
category62,category242,18
category62,category87,474
category62,category311,15
category62,category281,288
category62,category200,75
category62,category273,29
category62,category285,19
category62,category153,483
category62,category279,139
category62,category308,321
category62,category102,116
category62,category243,96
category62,category130,54
category62,category183,164
category62,category2,135
category62,category97,26
category62,category20,136
category62,category40,158
category62,category65,118
category62,category257,11
category62,category176,16
category62,category89,118
category62,category215,36
category62,category123,11
category225,category195,298
category225,category226,418
category225,category248,230
category225,category86,64
category225,category60,294
category225,category185,13
category225,category266,183
category225,category280,77
category225,category263,718
category225,category194,11
category225,category237,29306
category225,category223,8415
category225,category72,5682
category225,category197,12399
category225,category171,2140
category225,category283,689
category225,category93,80
category225,category282,37
category225,category26,107
category225,category15,140
category225,category17,141
category225,category241,210
category225,category287,80
category225,category122,193
category225,category143,22
category225,category250,173
category225,category166,235
category225,category245,704
category225,category203,217
category225,category164,5974
category225,category154,401
category225,category48,450
category225,category35,171
category225,category21,3124
category225,category84,4365
category225,category254,3972
category225,category79,133
category225,category242,377
category225,category87,671
category225,category297,15
category225,category311,149
category225,category5,184
category225,category88,298
category225,category281,159
category225,category275,47
category225,category184,11
category225,category190,74
category225,category200,402
category225,category30,11
category225,category325,90
category225,category236,13
category225,category273,203
category225,category56,35
category225,category49,11
category225,category252,26
category225,category196,50
category225,category58,404
category225,category285,372
category225,category151,93
category225,category153,525
category225,category178,16
category225,category188,72
category225,category24,22
category225,category44,249
category225,category279,868
category225,category308,4288
category225,category102,1172
category225,category243,2353
category225,category130,1224
category225,category183,1412
category225,category300,29
category225,category2,5366
category225,category97,723
category225,category20,7439
category225,category40,2145
category225,category65,3362
category225,category239,236
category225,category257,45
category225,category89,560
category225,category215,12
category225,category71,41
category237,category226,14
category237,category263,87
category237,category223,217
category237,category72,6065
category237,category197,22760
category237,category171,433
category237,category283,26
category237,category93,37
category237,category164,277
category237,category154,33
category237,category48,14
category237,category21,106
category237,category84,328
category237,category254,246
category237,category87,58
category237,category5,62
category237,category88,263
category237,category28,79
category237,category200,36
category237,category118,12
category237,category273,12
category237,category253,12
category237,category58,11
category237,category153,29
category237,category44,14
category237,category279,12
category237,category308,174
category237,category102,16
category237,category243,108
category237,category130,30
category237,category183,56
category237,category2,349
category237,category97,96
category237,category20,596
category237,category40,173
category237,category65,143
category237,category239,14
category237,category89,11
category223,category195,24
category223,category226,73
category223,category60,78
category223,category263,47
category223,category72,78
category223,category197,858
category223,category171,117
category223,category283,30
category223,category15,12
category223,category17,19
category223,category241,24
category223,category122,11
category223,category164,228
category223,category21,281
category223,category84,324
category223,category254,389
category223,category242,22
category223,category87,48
category223,category5,45
category223,category88,625
category223,category200,33
category223,category325,12
category223,category169,11
category223,category196,20
category223,category285,15
category223,category153,31
category223,category188,12
category223,category24,11
category223,category279,90
category223,category308,555
category223,category102,112
category223,category243,171
category223,category130,123
category223,category183,117
category223,category2,1382
category223,category97,211
category223,category20,1149
category223,category40,34
category223,category65,952
category223,category239,46
category223,category89,11
category72,category195,22
category72,category226,57
category72,category60,43
category72,category266,17
category72,category263,54
category72,category194,11
category72,category197,46
category72,category283,227
category72,category93,14
category72,category122,12
category72,category245,33
category72,category164,721
category72,category154,46
category72,category48,75
category72,category21,398
category72,category84,635
category72,category254,570
category72,category242,28
category72,category87,556
category72,category281,26
category72,category110,263
category72,category190,18
category72,category200,40
category72,category325,17
category72,category273,22
category72,category233,11
category72,category196,11
category72,category58,27
category72,category285,55
category72,category153,127
category72,category279,114
category72,category308,900
category72,category102,326
category72,category243,192
category72,category130,134
category72,category183,185
category72,category2,350
category72,category97,173
category72,category20,865
category72,category40,375
category72,category65,397
category72,category239,31
category72,category89,208
category197,category171,57
category197,category20,37
category171,category283,15
category171,category164,48
category171,category21,11
category171,category84,38
category171,category254,30
category171,category87,15
category171,category308,45
category171,category183,13
category171,category2,84
category171,category20,1580
category171,category40,21
category171,category65,33
category283,category195,143
category283,category226,227
category283,category86,14
category283,category60,269
category283,category173,24
category283,category266,46
category283,category280,127
category283,category263,85
category283,category194,12
category283,category93,14
category283,category282,19
category283,category26,1055
category283,category122,437
category283,category250,12
category283,category166,36
category283,category245,46
category283,category203,26
category283,category164,867
category283,category154,583
category283,category121,89
category283,category48,538
category283,category35,160
category283,category21,645
category283,category84,1301
category283,category254,835
category283,category79,16
category283,category242,23
category283,category87,1110
category283,category88,277
category283,category281,155
category283,category275,31
category283,category184,11
category283,category190,86
category283,category200,139
category283,category30,37
category283,category118,17
category283,category325,92
category283,category160,21
category283,category236,12
category283,category273,78
category283,category49,32
category283,category252,96
category283,category196,13
category283,category253,26
category283,category165,740
category283,category58,31
category283,category285,37
category283,category151,19
category283,category153,267
category283,category78,515
category283,category331,20
category283,category279,746
category283,category51,28
category283,category308,938
category283,category102,522
category283,category243,218
category283,category130,211
category283,category183,478
category283,category2,325
category283,category97,47
category283,category20,415
category283,category40,836
category283,category65,520
category283,category239,12
category283,category176,12
category283,category89,3385
category283,category215,18
category283,category270,75
category93,category195,97
category93,category226,34
category93,category248,65
category93,category60,109
category93,category263,21
category93,category282,162
category93,category122,259
category93,category143,1676
category93,category120,58
category93,category203,13
category93,category164,96
category93,category48,29
category93,category21,133
category93,category84,206
category93,category254,194
category93,category242,13
category93,category87,25
category93,category200,21
category93,category30,15
category93,category273,28
category93,category49,89
category93,category153,25
category93,category279,47
category93,category308,128
category93,category102,22
category93,category243,81
category93,category130,11
category93,category183,34
category93,category2,41
category93,category20,27
category93,category40,40
category93,category65,48
category93,category89,16
category282,category195,12
category282,category226,14
category282,category122,464
category282,category164,41
category282,category35,15
category282,category21,56
category282,category84,130
category282,category254,140
category282,category273,52
category282,category49,123
category282,category153,11
category282,category308,80
category282,category243,29
category282,category183,26
category282,category2,29
category282,category20,19
category282,category40,26
category282,category65,44
category26,category195,11
category26,category226,16
category26,category164,39
category26,category48,120
category26,category21,15
category26,category84,47
category26,category254,56
category26,category87,42
category26,category281,54
category26,category153,24
category26,category279,11
category26,category308,27
category26,category243,12
category26,category183,22
category26,category2,14
category26,category40,13
category26,category65,22
category26,category89,24
category15,category195,50
category15,category226,40
category15,category60,29
category15,category266,11
category15,category263,16
category15,category283,84
category15,category282,130
category15,category26,167
category15,category17,2140
category15,category241,53
category15,category122,26
category15,category164,42
category15,category48,48
category15,category35,232
category15,category21,81
category15,category84,171
category15,category254,122
category15,category242,17
category15,category87,29
category15,category281,14
category15,category200,19
category15,category285,14
category15,category153,14
category15,category279,79
category15,category308,129
category15,category102,40
category15,category243,60
category15,category183,60
category15,category2,102
category15,category97,13
category15,category20,87
category15,category40,35
category15,category65,130
category15,category89,30
category15,category215,29
category15,category330,33
category17,category195,35
category17,category226,41
category17,category60,26
category17,category266,22
category17,category263,11
category17,category283,157
category17,category282,176
category17,category26,1007
category17,category241,121
category17,category287,11
category17,category122,187
category17,category143,24
category17,category164,30
category17,category48,181
category17,category35,13
category17,category21,121
category17,category84,213
category17,category254,158
category17,category242,11
category17,category87,83
category17,category281,26
category17,category200,24
category17,category273,11
category17,category153,49
category17,category279,72
category17,category308,120
category17,category102,28
category17,category243,33
category17,category183,63
category17,category2,86
category17,category20,76
category17,category65,98
category17,category89,37
category17,category215,21
category241,category195,124
category241,category226,154
category241,category86,11
category241,category60,123
category241,category266,19
category241,category283,709
category241,category282,31
category241,category26,51
category241,category287,11
category241,category122,1138
category241,category164,113
category241,category269,25
category241,category48,62
category241,category21,257
category241,category84,331
category241,category254,374
category241,category87,128
category241,category281,116
category241,category200,228
category241,category325,22
category241,category273,24
category241,category169,114
category241,category196,79
category241,category253,75
category241,category165,214
category241,category58,11
category241,category285,16
category241,category153,178
category241,category188,28
category241,category24,17
category241,category331,60
category241,category279,451
category241,category51,26
category241,category308,203
category241,category102,104
category241,category243,55
category241,category130,57
category241,category183,88
category241,category2,84
category241,category20,107
category241,category40,47
category241,category65,86
category241,category176,14
category241,category89,72
category241,category123,163
category241,category133,28
category241,category270,86
category321,category283,66
category321,category84,16
category321,category252,108
category321,category183,22
category287,category195,31
category287,category226,27
category287,category60,14
category287,category283,449
category287,category122,98
category287,category245,74
category287,category164,129
category287,category48,272
category287,category35,97
category287,category21,86
category287,category84,155
category287,category254,124
category287,category87,34
category287,category281,41
category287,category273,30
category287,category252,388
category287,category331,29
category287,category279,240
category287,category308,51
category287,category183,40
category287,category2,36
category287,category20,50
category287,category40,33
category287,category65,61
category287,category89,99
category122,category195,29
category122,category226,14
category122,category266,12
category122,category26,48
category122,category143,112
category122,category164,52
category122,category48,133
category122,category21,90
category122,category84,247
category122,category254,201
category122,category87,67
category122,category281,28
category122,category200,11
category122,category153,66
category122,category279,41
category122,category308,89
category122,category243,29
category122,category183,58
category122,category2,63
category122,category20,47
category122,category40,31
category122,category65,45
category122,category89,16
category143,category248,29
category143,category60,15
category143,category266,15
category143,category263,16
category143,category306,18
category143,category21,27
category143,category84,101
category143,category254,96
category143,category87,32
category143,category308,48
category143,category102,14
category143,category183,37
category143,category2,37
category143,category65,25
category120,category273,16
category120,category49,36
category43,category226,18
category43,category60,11
category43,category21,20
category43,category84,47
category43,category254,49
category43,category273,248
category43,category56,12
category43,category308,26
category43,category102,11
category43,category183,21
category250,category195,21
category250,category226,59
category250,category60,14
category250,category266,110
category250,category280,188
category250,category166,1528
category250,category245,4508
category250,category203,710
category250,category164,3031
category250,category269,386
category250,category154,67
category250,category121,138
category250,category21,1777
category250,category84,1589
category250,category254,1187
category250,category242,11
category250,category87,13
category250,category141,356
category250,category5,307
category250,category200,89
category250,category30,11
category250,category201,18
category250,category273,241
category250,category56,257
category250,category49,27
category250,category252,38
category250,category165,17
category250,category58,131
category250,category285,43
category250,category153,46
category250,category279,29
category250,category308,3868
category250,category102,57
category250,category243,1007
category250,category130,264
category250,category183,102
category250,category2,1140
category250,category20,228
category250,category40,354
category250,category65,441
category250,category204,89
category166,category226,155
category166,category60,19
category166,category266,15
category166,category280,12
category166,category194,14
category166,category245,4997
category166,category203,3325
category166,category164,6244
category166,category269,53
category166,category347,4099
category166,category154,94
category166,category121,442
category166,category21,4380
category166,category84,5052
category166,category254,3534
category166,category79,79
category166,category242,52
category166,category87,23
category166,category184,11
category166,category200,32
category166,category30,13
category166,category325,45
category166,category201,32
category166,category227,33
category166,category155,24
category166,category236,30
category166,category273,806
category166,category56,139
category166,category233,172
category166,category14,11
category166,category177,36
category166,category158,46
category166,category49,212
category166,category222,62
category166,category252,130
category166,category58,82
category166,category285,65
category166,category153,91
category166,category279,53
category166,category308,1293
category166,category102,301
category166,category243,684
category166,category130,331
category166,category183,265
category166,category2,331
category166,category97,34
category166,category20,348
category166,category40,504
category166,category65,628
category166,category239,16
category166,category89,41
category166,category204,21
category245,category195,23
category245,category226,209
category245,category60,63
category245,category191,14
category245,category266,22
category245,category194,33
category245,category203,4105
category245,category164,13528
category245,category269,376
category245,category154,622
category245,category121,1728
category245,category21,1099
category245,category84,2119
category245,category254,1731
category245,category79,59
category245,category242,68
category245,category87,71
category245,category275,12
category245,category190,11
category245,category200,34
category245,category30,12
category245,category325,39
category245,category201,25
category245,category227,174
category245,category155,17
category245,category236,13
category245,category273,391
category245,category56,146
category245,category233,75
category245,category14,28
category245,category246,86
category245,category177,16
category245,category158,28
category245,category290,29
category245,category49,91
category245,category222,53
category245,category252,123
category245,category196,21
category245,category58,281
category245,category285,96
category245,category151,18
category245,category153,120
category245,category188,15
category245,category279,123
category245,category308,3183
category245,category102,484
category245,category243,1113
category245,category130,487
category245,category183,280
category245,category2,960
category245,category97,38
category245,category20,519
category245,category40,847
category245,category65,515
category245,category239,12
category245,category89,46
category245,category204,16
category203,category195,12
category203,category226,165
category203,category60,49
category203,category266,14
category203,category280,99
category203,category164,8582
category203,category269,46
category203,category154,1077
category203,category121,766
category203,category21,487
category203,category84,1279
category203,category254,862
category203,category79,11
category203,category242,34
category203,category87,145
category203,category275,88
category203,category184,112
category203,category190,160
category203,category200,578
category203,category30,260
category203,category325,225
category203,category160,153
category203,category236,15
category203,category273,555
category203,category56,44
category203,category233,19
category203,category246,148
category203,category158,13
category203,category49,41
category203,category222,41
category203,category252,25
category203,category165,13
category203,category58,26
category203,category285,11
category203,category153,107
category203,category279,11
category203,category308,1181
category203,category102,310
category203,category243,574
category203,category130,208
category203,category183,131
category203,category2,177
category203,category20,244
category203,category40,360
category203,category65,331
category203,category89,72
category164,category195,238
category164,category226,913
category164,category248,77
category164,category86,37
category164,category60,450
category164,category185,36
category164,category266,313
category164,category280,136
category164,category263,445
category164,category194,80
category164,category269,2780
category164,category347,154
category164,category154,2999
category164,category121,5469
category164,category21,5290
category164,category84,8937
category164,category254,7563
category164,category79,173
category164,category242,399
category164,category87,843
category164,category88,11
category164,category281,65
category164,category275,64
category164,category184,95
category164,category190,132
category164,category200,622
category164,category30,106
category164,category325,213
category164,category160,58
category164,category201,28
category164,category227,139
category164,category301,11
category164,category155,16
category164,category236,281
category164,category273,2025
category164,category56,405
category164,category233,487
category164,category14,34
category164,category218,46
category164,category246,337
category164,category177,23
category164,category158,155
category164,category49,504
category164,category222,562
category164,category252,451
category164,category284,32
category164,category147,164
category164,category196,86
category164,category253,25
category164,category58,466
category164,category285,350
category164,category151,110
category164,category94,14
category164,category258,12
category164,category303,30
category164,category153,1199
category164,category188,133
category164,category63,13
category164,category24,12
category164,category331,11
category164,category279,848
category164,category308,17082
category164,category102,3032
category164,category243,6111
category164,category130,3418
category164,category183,11235
category164,category300,20
category164,category2,3939
category164,category97,381
category164,category20,6264
category164,category40,3546
category164,category65,10593
category164,category239,304
category164,category257,13
category164,category89,528
category164,category71,47
category164,category204,135
category269,category154,11
category269,category121,102
category269,category273,311
category269,category246,26
category269,category290,19
category269,category49,22
category269,category308,14
category269,category243,148
category347,category20,18
category154,category195,12
category154,category226,17
category154,category60,27
category154,category280,14
category154,category121,629
category154,category21,368
category154,category84,320
category154,category254,354
category154,category87,66
category154,category273,35
category154,category58,16
category154,category285,21
category154,category151,14
category154,category153,91
category154,category279,35
category154,category308,863
category154,category102,125
category154,category243,349
category154,category130,70
category154,category183,61
category154,category2,161
category154,category20,198
category154,category40,835
category154,category65,241
category154,category239,11
category154,category89,530
category121,category226,47
category121,category248,12
category121,category60,44
category121,category194,12
category121,category21,74
category121,category84,317
category121,category254,178
category121,category87,97
category121,category201,11
category121,category273,272
category121,category246,90
category121,category222,100
category121,category58,11
category121,category153,14
category121,category308,545
category121,category102,75
category121,category243,201
category121,category130,36
category121,category183,75
category121,category2,51
category121,category20,40
category121,category40,207
category121,category65,60
category121,category89,59
category121,category204,36
category48,category195,12
category48,category226,89
category48,category60,14
category48,category266,14
category48,category250,191
category48,category166,246
category48,category245,393
category48,category203,352
category48,category164,1982
category48,category154,65
category48,category121,787
category48,category35,6422
category48,category21,452
category48,category84,791
category48,category254,619
category48,category242,12
category48,category87,338
category48,category281,98
category48,category110,31
category48,category200,105
category48,category325,27
category48,category227,13
category48,category236,57
category48,category273,391
category48,category56,34
category48,category233,57
category48,category246,97
category48,category158,35
category48,category49,33
category48,category222,25
category48,category252,281
category48,category153,204
category48,category279,42
category48,category308,599
category48,category102,206
category48,category243,113
category48,category130,127
category48,category183,197
category48,category2,150
category48,category97,11
category48,category20,172
category48,category40,288
category48,category65,228
category48,category89,191
category48,category270,20
category35,category226,52
category35,category250,47
category35,category166,108
category35,category245,80
category35,category203,96
category35,category164,568
category35,category121,22
category35,category21,125
category35,category84,209
category35,category254,146
category35,category87,167
category35,category200,14
category35,category273,77
category35,category49,12
category35,category252,134
category35,category153,48
category35,category279,14
category35,category308,160
category35,category102,31
category35,category243,15
category35,category130,11
category35,category183,68
category35,category2,57
category35,category20,46
category35,category40,69
category35,category65,78
category35,category89,119
category21,category195,505
category21,category226,1250
category21,category248,66
category21,category86,244
category21,category60,1200
category21,category191,26
category21,category185,82
category21,category266,411
category21,category280,392
category21,category263,260
category21,category194,77
category21,category84,74630
category21,category254,70114
category21,category79,13997
category21,category187,13
category21,category87,788
category21,category311,43
category21,category5,13
category21,category88,32
category21,category281,119
category21,category275,165
category21,category184,158
category21,category190,317
category21,category200,756
category21,category30,321
category21,category118,14
category21,category34,14
category21,category325,484
category21,category160,215
category21,category227,165
category21,category236,181
category21,category273,646
category21,category56,252
category21,category233,192
category21,category14,47
category21,category218,12
category21,category158,98
category21,category290,12
category21,category49,104
category21,category252,146
category21,category284,12
category21,category169,23
category21,category196,261
category21,category253,13
category21,category165,11
category21,category58,1145
category21,category285,1137
category21,category151,246
category21,category94,24
category21,category258,32
category21,category59,75
category21,category153,754
category21,category188,213
category21,category63,62
category21,category24,82
category21,category279,1542
category21,category308,10516
category21,category102,3457
category21,category243,6599
category21,category130,3287
category21,category183,2648
category21,category300,47
category21,category2,3390
category21,category97,612
category21,category20,4170
category21,category40,5217
category21,category65,5010
category21,category239,325
category21,category89,244
category21,category215,13
category21,category71,366
category21,category229,51
category21,category202,26
category21,category330,103
category84,category195,542
category84,category226,2499
category84,category248,273
category84,category70,13
category84,category86,242
category84,category307,35
category84,category60,1685
category84,category191,87
category84,category173,12
category84,category238,14
category84,category185,216
category84,category266,749
category84,category280,3962
category84,category263,633
category84,category194,131
category84,category254,59906
category84,category79,11306
category84,category87,1037
category84,category74,12
category84,category311,39
category84,category5,31
category84,category88,39
category84,category281,153
category84,category110,11
category84,category275,1000
category84,category184,803
category84,category190,2419
category84,category200,1240
category84,category30,1171
category84,category118,108
category84,category34,79
category84,category228,62
category84,category325,2425
category84,category160,1808
category84,category201,30
category84,category227,63
category84,category155,34
category84,category236,141
category84,category273,689
category84,category56,253
category84,category233,208
category84,category14,50
category84,category76,16
category84,category99,12
category84,category218,18
category84,category177,17
category84,category158,68
category84,category290,27
category84,category49,297
category84,category252,181
category84,category284,53
category84,category8,33
category84,category169,159
category84,category196,478
category84,category253,134
category84,category165,176
category84,category58,1960
category84,category285,1572
category84,category151,692
category84,category268,44
category84,category261,21
category84,category108,69
category84,category94,181
category84,category258,207
category84,category59,124
category84,category303,12
category84,category153,1196
category84,category156,22
category84,category78,12
category84,category100,21
category84,category188,614
category84,category63,128
category84,category24,217
category84,category331,31
category84,category44,45
category84,category279,1976
category84,category264,15
category84,category51,22
category84,category39,60
category84,category308,19215
category84,category102,8202
category84,category243,10819
category84,category130,10670
category84,category183,5209
category84,category300,134
category84,category2,6031
category84,category97,1086
category84,category20,8160
category84,category40,5559
category84,category65,9058
category84,category239,303
category84,category257,16
category84,category89,453
category84,category215,59
category84,category123,19
category84,category270,16
category84,category71,694
category84,category229,97
category84,category202,15
category84,category255,471
category84,category330,83
category254,category195,568
category254,category226,1796
category254,category248,189
category254,category86,270
category254,category307,11
category254,category60,1704
category254,category191,104
category254,category185,243
category254,category266,657
category254,category280,1266
category254,category263,571
category254,category194,144
category254,category79,3524
category254,category87,891
category254,category74,12
category254,category141,130
category254,category311,40
category254,category5,142
category254,category88,13
category254,category281,159
category254,category275,261
category254,category184,319
category254,category190,657
category254,category200,1809
category254,category30,502
category254,category118,40
category254,category34,609
category254,category325,1235
category254,category160,249
category254,category201,17
category254,category227,62
category254,category301,12
category254,category155,30
category254,category236,175
category254,category273,711
category254,category56,208
category254,category233,192
category254,category14,11
category254,category76,12
category254,category218,13
category254,category177,11
category254,category158,35
category254,category49,177
category254,category252,1335
category254,category284,47
category254,category8,11
category254,category169,68
category254,category196,479
category254,category253,68
category254,category165,62
category254,category58,1554
category254,category285,1605
category254,category151,639
category254,category268,52
category254,category261,24
category254,category108,19
category254,category94,90
category254,category258,94
category254,category59,288
category254,category153,1020
category254,category78,12
category254,category188,351
category254,category63,128
category254,category24,152
category254,category331,30
category254,category279,1946
category254,category51,13
category254,category39,36
category254,category308,18880
category254,category102,4418
category254,category243,11382
category254,category130,5599
category254,category183,3159
category254,category300,107
category254,category2,4475
category254,category97,762
category254,category20,6044
category254,category40,4504
category254,category65,6494
category254,category239,237
category254,category176,15
category254,category89,423
category254,category215,42
category254,category71,494
category254,category229,137
category254,category202,101
category254,category255,113
category254,category330,511
category79,category195,11
category79,category226,50
category79,category60,43
category79,category266,17
category79,category280,148
category79,category263,17
category79,category87,43
category79,category5,42
category79,category118,13
category79,category325,15
category79,category227,11
category79,category273,48
category79,category56,41
category79,category252,34
category79,category196,13
category79,category58,63
category79,category285,69
category79,category153,24
category79,category44,80
category79,category279,58
category79,category308,568
category79,category102,119
category79,category243,703
category79,category130,196
category79,category183,102
category79,category2,138
category79,category97,18
category79,category20,142
category79,category40,152
category79,category65,238
category79,category89,12
category79,category71,54
category242,category195,39
category242,category226,142
category242,category86,14
category242,category60,106
category242,category266,69
category242,category280,116
category242,category21,4803
category242,category84,5110
category242,category254,6654
category242,category79,1068
category242,category87,94
category242,category5,20
category242,category184,11
category242,category190,54
category242,category200,989
category242,category118,238
category242,category325,110
category242,category273,31
category242,category56,12
category242,category196,13
category242,category58,79
category242,category285,104
category242,category151,25
category242,category59,28
category242,category153,105
category242,category188,33
category242,category279,194
category242,category308,1136
category242,category102,278
category242,category243,748
category242,category130,205
category242,category183,310
category242,category2,398
category242,category97,28
category242,category20,620
category242,category40,284
category242,category65,584
category242,category239,11
category242,category89,27
category242,category71,96
category242,category229,162
category187,category79,858
category87,category195,155
category87,category226,232
category87,category248,98
category87,category86,62
category87,category60,354
category87,category266,199
category87,category280,103
category87,category111,241
category87,category263,835
