品类,时间,库存量
category255,2022/10/1-2022/10/15,1454
category303,2022/10/1-2022/10/15,52229
category266,2022/10/1-2022/10/15,207019
category205,2022/10/1-2022/10/15,34776
category179,2022/10/1-2022/10/15,1592
category129,2022/10/1-2022/10/15,14240
category242,2022/10/1-2022/10/15,195332
category99,2022/10/1-2022/10/15,3449
category1,2022/10/1-2022/10/15,7013
category184,2022/10/1-2022/10/15,70149
category274,2022/10/1-2022/10/15,18
category155,2022/10/1-2022/10/15,4385
category21,2022/10/1-2022/10/15,2238078
category329,2022/10/1-2022/10/15,487
category123,2022/10/1-2022/10/15,15091
category176,2022/10/1-2022/10/15,17080
category53,2022/10/1-2022/10/15,6940
category14,2022/10/1-2022/10/15,6719
category91,2022/10/1-2022/10/15,13807
category283,2022/10/1-2022/10/15,211601
category302,2022/10/1-2022/10/15,2816
category277,2022/10/1-2022/10/15,5679
category39,2022/10/1-2022/10/15,3332
category52,2022/10/1-2022/10/15,14234
category287,2022/10/1-2022/10/15,58096
category271,2022/10/1-2022/10/15,14686
category146,2022/10/1-2022/10/15,39487
category152,2022/10/1-2022/10/15,49172
category55,2022/10/1-2022/10/15,179
category315,2022/10/1-2022/10/15,107
category115,2022/10/1-2022/10/15,142
category257,2022/10/1-2022/10/15,14955
category224,2022/10/1-2022/10/15,5651
category254,2022/10/1-2022/10/15,1654656
category32,2022/10/1-2022/10/15,249944
category62,2022/10/1-2022/10/15,83194
category24,2022/10/1-2022/10/15,68624
category128,2022/10/1-2022/10/15,206645
category34,2022/10/1-2022/10/15,8987
category29,2022/10/1-2022/10/15,137463
category226,2022/10/1-2022/10/15,83699
category234,2022/10/1-2022/10/15,896
category46,2022/10/1-2022/10/15,65958
category236,2022/10/1-2022/10/15,75143
category117,2022/10/1-2022/10/15,3562
category87,2022/10/1-2022/10/15,557859
category175,2022/10/1-2022/10/15,1553
category72,2022/10/1-2022/10/15,112185
category25,2022/10/1-2022/10/15,14963
category89,2022/10/1-2022/10/15,126191
category180,2022/10/1-2022/10/15,2979
category143,2022/10/1-2022/10/15,49704
category147,2022/10/1-2022/10/15,4157
category20,2022/10/1-2022/10/15,727480
category19,2022/10/1-2022/10/15,4849
category116,2022/10/1-2022/10/15,12156
category247,2022/10/1-2022/10/15,120683
category306,2022/10/1-2022/10/15,4016
category13,2022/10/1-2022/10/15,39960
category102,2022/10/1-2022/10/15,547188
category173,2022/10/1-2022/10/15,66144
category153,2022/10/1-2022/10/15,627992
category293,2022/10/1-2022/10/15,52195
category126,2022/10/1-2022/10/15,1483
category94,2022/10/1-2022/10/15,19899
category235,2022/10/1-2022/10/15,725
category186,2022/10/1-2022/10/15,38336
category169,2022/10/1-2022/10/15,84392
category229,2022/10/1-2022/10/15,13083
category54,2022/10/1-2022/10/15,46
category160,2022/10/1-2022/10/15,57570
category26,2022/10/1-2022/10/15,40210
category12,2022/10/1-2022/10/15,86349
category259,2022/10/1-2022/10/15,390789
category114,2022/10/1-2022/10/15,35431
category248,2022/10/1-2022/10/15,125612
category223,2022/10/1-2022/10/15,214573
category324,2022/10/1-2022/10/15,44261
category338,2022/10/1-2022/10/15,204
category165,2022/10/1-2022/10/15,63007
category300,2022/10/1-2022/10/15,23289
category22,2022/10/1-2022/10/15,10664
category231,2022/10/1-2022/10/15,7697
category43,2022/10/1-2022/10/15,21387
category284,2022/10/1-2022/10/15,13975
category230,2022/10/1-2022/10/15,3811
category104,2022/10/1-2022/10/15,209220
category240,2022/10/1-2022/10/15,150489
category323,2022/10/1-2022/10/15,96352
category206,2022/10/1-2022/10/15,1117
category63,2022/10/1-2022/10/15,256743
category145,2022/10/1-2022/10/15,3027
category44,2022/10/1-2022/10/15,160551
category136,2022/10/1-2022/10/15,88025
category307,2022/10/1-2022/10/15,65224
category31,2022/10/1-2022/10/15,169
category82,2022/10/1-2022/10/15,59
category212,2022/10/1-2022/10/15,1384
category227,2022/10/1-2022/10/15,15353
category130,2022/10/1-2022/10/15,449910
category156,2022/10/1-2022/10/15,14885
category191,2022/10/1-2022/10/15,189944
category37,2022/10/1-2022/10/15,169
category218,2022/10/1-2022/10/15,5993
category59,2022/10/1-2022/10/15,3370
category203,2022/10/1-2022/10/15,168133
category81,2022/10/1-2022/10/15,2118
category124,2022/10/1-2022/10/15,123738
category305,2022/10/1-2022/10/15,11249
category17,2022/10/1-2022/10/15,129846
category187,2022/10/1-2022/10/15,497
category107,2022/10/1-2022/10/15,99712
category108,2022/10/1-2022/10/15,16718
category93,2022/10/1-2022/10/15,87167
category51,2022/10/1-2022/10/15,48648
category301,2022/10/1-2022/10/15,3089
category150,2022/10/1-2022/10/15,3070
category285,2022/10/1-2022/10/15,145923
category92,2022/10/1-2022/10/15,2517
category148,2022/10/1-2022/10/15,2207
category4,2022/10/1-2022/10/15,6777
category158,2022/10/1-2022/10/15,6648
category220,2022/10/1-2022/10/15,2081
category164,2022/10/1-2022/10/15,583086
category30,2022/10/1-2022/10/15,314664
category221,2022/10/1-2022/10/15,151
category269,2022/10/1-2022/10/15,486
category228,2022/10/1-2022/10/15,23470
category244,2022/10/1-2022/10/15,469
category177,2022/10/1-2022/10/15,5766
category7,2022/10/1-2022/10/15,18
category97,2022/10/1-2022/10/15,101645
category304,2022/10/1-2022/10/15,258
category28,2022/10/1-2022/10/15,37205
category215,2022/10/1-2022/10/15,30038
category241,2022/10/1-2022/10/15,38939
category73,2022/10/1-2022/10/15,74593
category50,2022/10/1-2022/10/15,449
category38,2022/10/1-2022/10/15,29730
category15,2022/10/1-2022/10/15,214684
category178,2022/10/1-2022/10/15,9395
category100,2022/10/1-2022/10/15,12829
category69,2022/10/1-2022/10/15,1281
category263,2022/10/1-2022/10/15,355793
category280,2022/10/1-2022/10/15,295796
category278,2022/10/1-2022/10/15,2336
category135,2022/10/1-2022/10/15,94807
category295,2022/10/1-2022/10/15,31018
category204,2022/10/1-2022/10/15,5271
category96,2022/10/1-2022/10/15,1403
category174,2022/10/1-2022/10/15,6795
category8,2022/10/1-2022/10/15,42845
category74,2022/10/1-2022/10/15,7434
category168,2022/10/1-2022/10/15,4181
category268,2022/10/1-2022/10/15,21675
category341,2022/10/1-2022/10/15,948
category256,2022/10/1-2022/10/15,31611
category181,2022/10/1-2022/10/15,340
category309,2022/10/1-2022/10/15,90
category65,2022/10/1-2022/10/15,694825
category85,2022/10/1-2022/10/15,46967
category76,2022/10/1-2022/10/15,10047
category250,2022/10/1-2022/10/15,162091
category35,2022/10/1-2022/10/15,116809
category64,2022/10/1-2022/10/15,13429
category23,2022/10/1-2022/10/15,3250
category134,2022/10/1-2022/10/15,1343
category198,2022/10/1-2022/10/15,82764
category183,2022/10/1-2022/10/15,133181
category200,2022/10/1-2022/10/15,215879
category222,2022/10/1-2022/10/15,7145
category346,2022/10/1-2022/10/15,939
category320,2022/10/1-2022/10/15,4995
category16,2022/10/1-2022/10/15,98074
category282,2022/10/1-2022/10/15,131719
category246,2022/10/1-2022/10/15,8298
category334,2022/10/1-2022/10/15,191
category253,2022/10/1-2022/10/15,93828
category216,2022/10/1-2022/10/15,71
category261,2022/10/1-2022/10/15,19459
category219,2022/10/1-2022/10/15,163
category33,2022/10/1-2022/10/15,56838
category292,2022/10/1-2022/10/15,4313
category217,2022/10/1-2022/10/15,1614
category197,2022/10/1-2022/10/15,570643
category273,2022/10/1-2022/10/15,72716
category185,2022/10/1-2022/10/15,136156
category49,2022/10/1-2022/10/15,23479
category202,2022/10/1-2022/10/15,813
category127,2022/10/1-2022/10/15,12943
category245,2022/10/1-2022/10/15,383273
category75,2022/10/1-2022/10/15,5965
category133,2022/10/1-2022/10/15,2104
category88,2022/10/1-2022/10/15,54579
category172,2022/10/1-2022/10/15,22056
category151,2022/10/1-2022/10/15,128738
category95,2022/10/1-2022/10/15,311415
category67,2022/10/1-2022/10/15,3502
category149,2022/10/1-2022/10/15,475
category61,2022/10/1-2022/10/15,265127
category109,2022/10/1-2022/10/15,342509
category2,2022/10/1-2022/10/15,683432
category325,2022/10/1-2022/10/15,138120
category279,2022/10/1-2022/10/15,819881
category18,2022/10/1-2022/10/15,6500
category103,2022/10/1-2022/10/15,85418
category70,2022/10/1-2022/10/15,33291
category86,2022/10/1-2022/10/15,321824
category267,2022/10/1-2022/10/15,85325
category11,2022/10/1-2022/10/15,3848
category328,2022/10/1-2022/10/15,27
category90,2022/10/1-2022/10/15,12054
category317,2022/10/1-2022/10/15,193
category290,2022/10/1-2022/10/15,3701
category196,2022/10/1-2022/10/15,103261
category119,2022/10/1-2022/10/15,917
category182,2022/10/1-2022/10/15,114148
category258,2022/10/1-2022/10/15,32182
category162,2022/10/1-2022/10/15,1123
category112,2022/10/1-2022/10/15,3385
category138,2022/10/1-2022/10/15,55106
category125,2022/10/1-2022/10/15,4673
category249,2022/10/1-2022/10/15,36
category299,2022/10/1-2022/10/15,218531
category66,2022/10/1-2022/10/15,4328
category232,2022/10/1-2022/10/15,87678
category297,2022/10/1-2022/10/15,67729
category120,2022/10/1-2022/10/15,3852
category201,2022/10/1-2022/10/15,6287
category98,2022/10/1-2022/10/15,3016
category166,2022/10/1-2022/10/15,263256
category161,2022/10/1-2022/10/15,114818
category71,2022/10/1-2022/10/15,45439
category336,2022/10/1-2022/10/15,11
category190,2022/10/1-2022/10/15,112537
category132,2022/10/1-2022/10/15,4140
category141,2022/10/1-2022/10/15,1790672
category48,2022/10/1-2022/10/15,301993
category225,2022/10/1-2022/10/15,3499567
category41,2022/10/1-2022/10/15,148
category238,2022/10/1-2022/10/15,15373
category159,2022/10/1-2022/10/15,25
category78,2022/10/1-2022/10/15,9046
category47,2022/10/1-2022/10/15,144143
category298,2022/10/1-2022/10/15,1890
category312,2022/10/1-2022/10/15,974
category137,2022/10/1-2022/10/15,956611
category154,2022/10/1-2022/10/15,102125
category167,2022/10/1-2022/10/15,43
category335,2022/10/1-2022/10/15,1101
category337,2022/10/1-2022/10/15,35
category9,2022/10/1-2022/10/15,147
category6,2022/10/1-2022/10/15,290
category319,2022/10/1-2022/10/15,540
category83,2022/10/1-2022/10/15,45
category193,2022/10/1-2022/10/15,240
category265,2022/10/1-2022/10/15,1460
category291,2022/10/1-2022/10/15,125
category339,2022/10/1-2022/10/15,53
category210,2022/10/1-2022/10/15,18
category106,2022/10/1-2022/10/15,1667
category5,2022/10/1-2022/10/15,5163
category348,2022/10/1-2022/10/15,28
category213,2022/10/1-2022/10/15,149
category251,2022/10/1-2022/10/15,4896
category131,2022/10/1-2022/10/15,360
category332,2022/10/1-2022/10/15,43
category330,2022/10/1-2022/10/15,613
category349,2022/10/1-2022/10/15,869
category207,2022/10/1-2022/10/15,51
category347,2022/10/1-2022/10/15,2287
category343,2022/10/1-2022/10/15,73
category333,2022/10/1-2022/10/15,6002
category326,2022/10/1-2022/10/15,1
category350,2022/10/1-2022/10/15,1286
category327,2022/10/1-2022/10/15,489
category345,2022/10/1-2022/10/15,13
category286,2022/10/15-2022/11/15,164406
category144,2022/10/15-2022/11/15,5853
category321,2022/10/15-2022/11/15,61530
category189,2022/10/15-2022/11/15,7777
category314,2022/10/15-2022/11/15,1596
category167,2022/10/15-2022/11/15,58
category121,2022/10/15-2022/11/15,98086
category208,2022/10/15-2022/11/15,105179
category118,2022/10/15-2022/11/15,40366
category45,2022/10/15-2022/11/15,67755
category27,2022/10/15-2022/11/15,34965
category289,2022/10/15-2022/11/15,2033
category157,2022/10/15-2022/11/15,38938
category276,2022/10/15-2022/11/15,1079997
category310,2022/10/15-2022/11/15,1411
category294,2022/10/15-2022/11/15,74
category194,2022/10/15-2022/11/15,36671
category252,2022/10/15-2022/11/15,7858
category335,2022/10/15-2022/11/15,1245
category77,2022/10/15-2022/11/15,173730
category237,2022/10/15-2022/11/15,447404
category243,2022/10/15-2022/11/15,822282
category330,2022/10/15-2022/11/15,134
category322,2022/10/15-2022/11/15,53819
category105,2022/10/15-2022/11/15,26641
category333,2022/10/15-2022/11/15,6196
category209,2022/10/15-2022/11/15,1654952
category288,2022/10/15-2022/11/15,11
category264,2022/10/15-2022/11/15,6115
category192,2022/10/15-2022/11/15,96324
category3,2022/10/15-2022/11/15,3464
category56,2022/10/15-2022/11/15,87223
category260,2022/10/15-2022/11/15,49
category57,2022/10/15-2022/11/15,1004
category318,2022/10/15-2022/11/15,23452
category281,2022/10/15-2022/11/15,66756
category163,2022/10/15-2022/11/15,31149
category139,2022/10/15-2022/11/15,7791
category171,2022/10/15-2022/11/15,184464
category58,2022/10/15-2022/11/15,226951
category316,2022/10/15-2022/11/15,131315
category262,2022/10/15-2022/11/15,198385
category311,2022/10/15-2022/11/15,6619
category113,2022/10/15-2022/11/15,2646
category214,2022/10/15-2022/11/15,16248
category80,2022/10/15-2022/11/15,87365
category270,2022/10/15-2022/11/15,9003
category60,2022/10/15-2022/11/15,887309
category84,2022/10/15-2022/11/15,3667064
category211,2022/10/15-2022/11/15,9099
category79,2022/10/15-2022/11/15,34063
category111,2022/10/15-2022/11/15,8729
category308,2022/10/15-2022/11/15,929065
category337,2022/10/15-2022/11/15,27
category110,2022/10/15-2022/11/15,11270
category233,2022/10/15-2022/11/15,47147
category272,2022/10/15-2022/11/15,11161
category42,2022/10/15-2022/11/15,2061747
category40,2022/10/15-2022/11/15,1343238
category122,2022/10/15-2022/11/15,75605
category313,2022/10/15-2022/11/15,266285
category239,2022/10/15-2022/11/15,46879
category68,2022/10/15-2022/11/15,1670
category36,2022/10/15-2022/11/15,335
category275,2022/10/15-2022/11/15,67011
category296,2022/10/15-2022/11/15,43956
category331,2022/10/15-2022/11/15,2979
category140,2022/10/15-2022/11/15,25962
category142,2022/10/15-2022/11/15,731
category188,2022/10/15-2022/11/15,228404
category199,2022/10/15-2022/11/15,1380
category340,2022/10/15-2022/11/15,4636
category101,2022/10/15-2022/11/15,4256
category10,2022/10/15-2022/11/15,198
category195,2022/10/15-2022/11/15,334492
category255,2022/10/15-2022/11/15,908
category303,2022/10/15-2022/11/15,66085
category266,2022/10/15-2022/11/15,264951
category205,2022/10/15-2022/11/15,26363
category129,2022/10/15-2022/11/15,20513
category179,2022/10/15-2022/11/15,1545
category242,2022/10/15-2022/11/15,258331
category99,2022/10/15-2022/11/15,3098
category1,2022/10/15-2022/11/15,6575
category184,2022/10/15-2022/11/15,81828
category155,2022/10/15-2022/11/15,6945
category21,2022/10/15-2022/11/15,3280357
category123,2022/10/15-2022/11/15,19734
category176,2022/10/15-2022/11/15,19279
category53,2022/10/15-2022/11/15,5257
category14,2022/10/15-2022/11/15,8037
category91,2022/10/15-2022/11/15,13951
category283,2022/10/15-2022/11/15,276636
category302,2022/10/15-2022/11/15,3860
category277,2022/10/15-2022/11/15,8517
category39,2022/10/15-2022/11/15,3315
category52,2022/10/15-2022/11/15,16981
category287,2022/10/15-2022/11/15,59089
category271,2022/10/15-2022/11/15,18742
category146,2022/10/15-2022/11/15,51374
category152,2022/10/15-2022/11/15,67945
category55,2022/10/15-2022/11/15,205
category115,2022/10/15-2022/11/15,163
category257,2022/10/15-2022/11/15,17956
category224,2022/10/15-2022/11/15,6469
category254,2022/10/15-2022/11/15,1956651
category32,2022/10/15-2022/11/15,257135
category62,2022/10/15-2022/11/15,105460
category24,2022/10/15-2022/11/15,95217
category128,2022/10/15-2022/11/15,196348
category34,2022/10/15-2022/11/15,9547
category29,2022/10/15-2022/11/15,137050
category226,2022/10/15-2022/11/15,128820
category234,2022/10/15-2022/11/15,769
category46,2022/10/15-2022/11/15,66585
category236,2022/10/15-2022/11/15,90745
category117,2022/10/15-2022/11/15,3707
category87,2022/10/15-2022/11/15,819116
category175,2022/10/15-2022/11/15,1794
category72,2022/10/15-2022/11/15,155192
category25,2022/10/15-2022/11/15,14981
category89,2022/10/15-2022/11/15,140968
category180,2022/10/15-2022/11/15,3118
category143,2022/10/15-2022/11/15,65424
category147,2022/10/15-2022/11/15,4595
category20,2022/10/15-2022/11/15,1228083
category19,2022/10/15-2022/11/15,8623
category116,2022/10/15-2022/11/15,11762
category247,2022/10/15-2022/11/15,123946
category306,2022/10/15-2022/11/15,5158
category6,2022/10/15-2022/11/15,359
category13,2022/10/15-2022/11/15,39412
category102,2022/10/15-2022/11/15,706387
category349,2022/10/15-2022/11/15,770
category173,2022/10/15-2022/11/15,83694
category153,2022/10/15-2022/11/15,708590
category293,2022/10/15-2022/11/15,63878
category126,2022/10/15-2022/11/15,1919
category94,2022/10/15-2022/11/15,28728
category235,2022/10/15-2022/11/15,866
category186,2022/10/15-2022/11/15,232615
category169,2022/10/15-2022/11/15,144018
category229,2022/10/15-2022/11/15,6379
category54,2022/10/15-2022/11/15,44
category160,2022/10/15-2022/11/15,79891
category319,2022/10/15-2022/11/15,676
category26,2022/10/15-2022/11/15,62507
category12,2022/10/15-2022/11/15,125668
category259,2022/10/15-2022/11/15,394988
category114,2022/10/15-2022/11/15,35984
category248,2022/10/15-2022/11/15,139362
category223,2022/10/15-2022/11/15,364719
category324,2022/10/15-2022/11/15,47210
category338,2022/10/15-2022/11/15,184
category165,2022/10/15-2022/11/15,93965
category300,2022/10/15-2022/11/15,41759
category22,2022/10/15-2022/11/15,10785
category43,2022/10/15-2022/11/15,32398
category284,2022/10/15-2022/11/15,19760
category230,2022/10/15-2022/11/15,4818
category104,2022/10/15-2022/11/15,222988
category240,2022/10/15-2022/11/15,150441
category83,2022/10/15-2022/11/15,76
category323,2022/10/15-2022/11/15,101835
category206,2022/10/15-2022/11/15,1463
category63,2022/10/15-2022/11/15,408640
category145,2022/10/15-2022/11/15,3383
category44,2022/10/15-2022/11/15,247231
category136,2022/10/15-2022/11/15,87575
category307,2022/10/15-2022/11/15,114237
category193,2022/10/15-2022/11/15,369
category31,2022/10/15-2022/11/15,172
category82,2022/10/15-2022/11/15,75
category212,2022/10/15-2022/11/15,6776
category227,2022/10/15-2022/11/15,21406
category130,2022/10/15-2022/11/15,663588
category156,2022/10/15-2022/11/15,21864
category191,2022/10/15-2022/11/15,213344
category37,2022/10/15-2022/11/15,197
category218,2022/10/15-2022/11/15,9178
category59,2022/10/15-2022/11/15,2306
category203,2022/10/15-2022/11/15,210045
category81,2022/10/15-2022/11/15,4169
category124,2022/10/15-2022/11/15,174071
category305,2022/10/15-2022/11/15,15860
category17,2022/10/15-2022/11/15,158567
category187,2022/10/15-2022/11/15,75
category107,2022/10/15-2022/11/15,97491
category108,2022/10/15-2022/11/15,19418
category131,2022/10/15-2022/11/15,323
category265,2022/10/15-2022/11/15,2005
category51,2022/10/15-2022/11/15,62227
category93,2022/10/15-2022/11/15,109726
category301,2022/10/15-2022/11/15,3705
category150,2022/10/15-2022/11/15,3804
category285,2022/10/15-2022/11/15,194740
category92,2022/10/15-2022/11/15,2838
category148,2022/10/15-2022/11/15,2543
category4,2022/10/15-2022/11/15,6521
category158,2022/10/15-2022/11/15,9488
category220,2022/10/15-2022/11/15,2522
category164,2022/10/15-2022/11/15,864097
category30,2022/10/15-2022/11/15,398541
category269,2022/10/15-2022/11/15,632
category228,2022/10/15-2022/11/15,29191
category244,2022/10/15-2022/11/15,471
category177,2022/10/15-2022/11/15,8079
category291,2022/10/15-2022/11/15,111
category7,2022/10/15-2022/11/15,16
category97,2022/10/15-2022/11/15,165125
category304,2022/10/15-2022/11/15,631
category28,2022/10/15-2022/11/15,40192
category215,2022/10/15-2022/11/15,38974
category241,2022/10/15-2022/11/15,75065
category73,2022/10/15-2022/11/15,79222
category50,2022/10/15-2022/11/15,571
category38,2022/10/15-2022/11/15,33778
category15,2022/10/15-2022/11/15,243401
category178,2022/10/15-2022/11/15,10110
category100,2022/10/15-2022/11/15,15916
category69,2022/10/15-2022/11/15,1363
category263,2022/10/15-2022/11/15,527236
category280,2022/10/15-2022/11/15,411929
category278,2022/10/15-2022/11/15,3019
category135,2022/10/15-2022/11/15,96199
category295,2022/10/15-2022/11/15,30378
category204,2022/10/15-2022/11/15,7140
category207,2022/10/15-2022/11/15,30
category96,2022/10/15-2022/11/15,1466
category174,2022/10/15-2022/11/15,9063
category8,2022/10/15-2022/11/15,64479
category74,2022/10/15-2022/11/15,9233
category168,2022/10/15-2022/11/15,4316
category341,2022/10/15-2022/11/15,999
category268,2022/10/15-2022/11/15,25611
category256,2022/10/15-2022/11/15,38162
category181,2022/10/15-2022/11/15,552
category339,2022/10/15-2022/11/15,57
category65,2022/10/15-2022/11/15,1079400
category85,2022/10/15-2022/11/15,47914
category250,2022/10/15-2022/11/15,276427
category76,2022/10/15-2022/11/15,10520
category35,2022/10/15-2022/11/15,140392
category64,2022/10/15-2022/11/15,13016
category23,2022/10/15-2022/11/15,3302
category134,2022/10/15-2022/11/15,1375
category198,2022/10/15-2022/11/15,112243
category183,2022/10/15-2022/11/15,109152
category200,2022/10/15-2022/11/15,310237
category222,2022/10/15-2022/11/15,9241
category320,2022/10/15-2022/11/15,5724
category347,2022/10/15-2022/11/15,8768
category16,2022/10/15-2022/11/15,106393
category282,2022/10/15-2022/11/15,164320
category246,2022/10/15-2022/11/15,11400
category334,2022/10/15-2022/11/15,157
category253,2022/10/15-2022/11/15,126843
category216,2022/10/15-2022/11/15,161
category261,2022/10/15-2022/11/15,21637
category219,2022/10/15-2022/11/15,165
category33,2022/10/15-2022/11/15,58821
category292,2022/10/15-2022/11/15,4430
category217,2022/10/15-2022/11/15,2236
category197,2022/10/15-2022/11/15,603490
category273,2022/10/15-2022/11/15,101178
category185,2022/10/15-2022/11/15,222649
category49,2022/10/15-2022/11/15,29305
category202,2022/10/15-2022/11/15,946
category127,2022/10/15-2022/11/15,14940
category245,2022/10/15-2022/11/15,591638
category75,2022/10/15-2022/11/15,9661
category133,2022/10/15-2022/11/15,2795
category88,2022/10/15-2022/11/15,57090
category172,2022/10/15-2022/11/15,30936
category151,2022/10/15-2022/11/15,165186
category95,2022/10/15-2022/11/15,322837
category67,2022/10/15-2022/11/15,3771
category149,2022/10/15-2022/11/15,468
category61,2022/10/15-2022/11/15,351197
category109,2022/10/15-2022/11/15,368724
category2,2022/10/15-2022/11/15,1229803
category325,2022/10/15-2022/11/15,161661
category279,2022/10/15-2022/11/15,865891
category18,2022/10/15-2022/11/15,8142
category86,2022/10/15-2022/11/15,371097
category103,2022/10/15-2022/11/15,120273
category70,2022/10/15-2022/11/15,33929
category267,2022/10/15-2022/11/15,87350
category11,2022/10/15-2022/11/15,8552
category90,2022/10/15-2022/11/15,12167
category317,2022/10/15-2022/11/15,270
category290,2022/10/15-2022/11/15,4646
category196,2022/10/15-2022/11/15,146925
category119,2022/10/15-2022/11/15,4884
category258,2022/10/15-2022/11/15,38218
category182,2022/10/15-2022/11/15,44587
category162,2022/10/15-2022/11/15,1330
category112,2022/10/15-2022/11/15,4206
category138,2022/10/15-2022/11/15,56195
category125,2022/10/15-2022/11/15,6239
category249,2022/10/15-2022/11/15,36
category299,2022/10/15-2022/11/15,211556
category297,2022/10/15-2022/11/15,79267
category66,2022/10/15-2022/11/15,2541
category232,2022/10/15-2022/11/15,92288
category343,2022/10/15-2022/11/15,73
category120,2022/10/15-2022/11/15,3632
category201,2022/10/15-2022/11/15,8919
category98,2022/10/15-2022/11/15,3451
category166,2022/10/15-2022/11/15,455076
category161,2022/10/15-2022/11/15,153555
category71,2022/10/15-2022/11/15,55306
category336,2022/10/15-2022/11/15,11
category190,2022/10/15-2022/11/15,126526
category132,2022/10/15-2022/11/15,3690
category106,2022/10/15-2022/11/15,2183
category141,2022/10/15-2022/11/15,1812847
category48,2022/10/15-2022/11/15,334397
category225,2022/10/15-2022/11/15,4998169
category41,2022/10/15-2022/11/15,105
category238,2022/10/15-2022/11/15,24097
category78,2022/10/15-2022/11/15,11868
category47,2022/10/15-2022/11/15,134444
category298,2022/10/15-2022/11/15,1906
category312,2022/10/15-2022/11/15,1700
category137,2022/10/15-2022/11/15,1301756
category154,2022/10/15-2022/11/15,120495
category5,2022/10/15-2022/11/15,4993
category9,2022/10/15-2022/11/15,138
category274,2022/10/15-2022/11/15,26
category213,2022/10/15-2022/11/15,144
category309,2022/10/15-2022/11/15,70
category328,2022/10/15-2022/11/15,98
category342,2022/10/15-2022/11/15,330
category344,2022/10/15-2022/11/15,544
category329,2022/10/15-2022/11/15,503
category326,2022/10/15-2022/11/15,1
category231,2022/10/15-2022/11/15,7922
category350,2022/10/15-2022/11/15,2642
category327,2022/10/15-2022/11/15,400
category221,2022/10/15-2022/11/15,78
category345,2022/10/15-2022/11/15,11
category346,2022/10/15-2022/11/15,1166
category159,2022/10/15-2022/11/15,25
category170,2022/10/15-2022/11/15,56
category348,2022/10/15-2022/11/15,28
category315,2022/10/15-2022/11/15,300
category332,2022/10/15-2022/11/15,9
category210,2022/10/15-2022/11/15,22
category251,2022/10/15-2022/11/15,4700
category286,2023/10/1-2023/10/15,133889
category144,2023/10/1-2023/10/15,8170
category342,2023/10/1-2023/10/15,1342
category321,2023/10/1-2023/10/15,47059
