品类,高级品类,件型
category100,high_category5,B
category288,high_category33,A
category82,high_category34,A
category309,high_category20,C
category33,high_category3,C
category16,high_category3,C
category215,high_category35,A
category74,high_category10,C
category42,high_category3,B
category211,high_category3,C
category260,high_category8,C
category316,high_category3,C
category152,high_category26,B
category139,high_category2,A
category80,high_category3,A
category147,high_category8,A
category185,high_category13,C
category10,high_category36,C
category200,high_category28,B
category39,high_category31,C
category151,high_category11,B
category196,high_category1,B
category12,high_category14,B
category5,high_category29,A
category101,high_category5,B
category298,high_category8,C
category157,high_category24,C
category238,high_category13,B
category19,high_category9,B
category299,high_category3,B
category107,high_category3,B
category114,high_category3,C
category172,high_category9,C
category36,high_category8,A
category174,high_category6,C
category70,high_category24,C
category178,high_category5,B
category195,high_category24,B
category120,high_category6,C
category256,high_category4,A
category232,high_category3,B
category217,high_category22,A
category85,high_category3,B
category77,high_category3,B
category128,high_category3,C
category159,high_category21,A
category293,high_category30,C
category272,high_category13,A
category63,high_category37,C
category258,high_category11,B
category23,high_category3,A
category210,high_category13,A
category73,high_category3,C
category45,high_category3,C
category148,high_category11,C
category20,high_category27,C
category40,high_category27,A
category222,high_category8,C
category317,high_category4,A
category194,high_category9,B
category226,high_category24,B
category68,high_category5,B
category27,high_category3,B
category322,high_category3,B
category205,high_category3,C
category145,high_category2,C
category138,high_category3,C
category197,high_category21,C
category190,high_category28,C
category253,high_category1,B
category56,high_category8,C
category275,high_category28,C
category90,high_category3,C
category248,high_category24,C
category170,high_category34,B
category30,high_category28,B
category95,high_category3,B
category129,high_category37,B
category236,high_category8,C
category118,high_category28,B
category31,high_category12,A
category246,high_category8,C
category22,high_category3,C
category153,high_category20,B
category218,high_category8,C
category167,high_category8,C
category249,high_category3,A
category92,high_category8,B
category247,high_category3,C
category79,high_category7,C
category21,high_category7,C
category189,high_category3,C
category116,high_category38,C
category108,high_category11,C
category41,high_category16,A
category47,high_category3,C
category105,high_category12,C
category319,high_category2,A
category276,high_category26,B
category284,high_category8,A
category277,high_category30,A
category113,high_category4,A
category169,high_category1,B
category279,high_category30,C
category266,high_category9,B
category17,high_category6,C
category297,high_category18,B
category267,high_category3,C
category203,high_category23,C
category130,high_category25,C
category243,high_category25,C
category264,high_category31,C
category282,high_category6,C
category62,high_category26,C
category229,high_category16,C
category274,high_category8,C
category239,high_category27,A
category314,high_category8,A
category323,high_category7,C
category135,high_category3,B
category132,high_category14,C
category231,high_category31,B
category48,high_category23,B
category233,high_category8,C
category161,high_category10,B
category265,high_category2,C
category212,high_category34,A
category109,high_category30,A
category187,high_category7,C
category292,high_category17,C
category294,high_category31,C
category308,high_category25,C
category102,high_category25,B
category133,high_category34,C
category123,high_category34,C
category131,high_category16,A
category115,high_category8,C
category179,high_category20,C
category303,high_category20,B
category60,high_category13,B
category183,high_category25,C
category269,high_category23,B
category124,high_category39,B
category112,high_category17,A
category141,high_category18,C
category242,high_category7,C
category61,high_category19,B
category160,high_category28,C
category6,high_category9,C
category252,high_category8,B
category177,high_category8,C
category221,high_category2,C
category4,high_category3,A
category43,high_category6,B
category87,high_category10,B
category97,high_category27,A
category55,high_category31,A
category24,high_category37,B
category250,high_category23,C
category225,high_category21,C
category71,high_category16,C
category89,high_category35,B
category219,high_category12,A
category111,high_category9,C
category271,high_category5,B
category306,high_category6,B
category11,high_category31,C
category193,high_category4,A
category186,high_category37,B
category202,high_category2,C
category188,high_category37,C
category38,high_category15,C
category209,high_category3,B
category278,high_category8,C
category192,high_category10,C
category166,high_category23,C
category295,high_category3,C
category224,high_category3,A
category180,high_category17,C
category318,high_category12,C
category234,high_category2,A
category325,high_category28,B
category162,high_category15,A
category93,high_category6,B
category251,high_category31,A
category125,high_category31,C
category168,high_category3,A
category213,high_category2,A
category158,high_category8,C
category315,high_category6,C
category84,high_category7,B
category270,high_category34,C
category259,high_category3,B
category46,high_category3,C
category310,high_category3,A
category208,high_category39,C
category76,high_category8,B
category29,high_category3,C
category34,high_category28,C
category257,high_category35,C
category182,high_category17,A
category254,high_category7,B
category140,high_category3,C
category50,high_category37,C
category228,high_category28,B
category126,high_category4,A
category305,high_category4,B
category176,high_category35,C
category245,high_category23,C
category146,high_category15,B
category51,high_category31,C
category121,high_category23,C
category156,high_category5,B
category290,high_category8,C
category296,high_category3,B
category339,high_category40,A
category334,high_category34,C
category337,high_category15,C
category331,high_category37,C
category344,high_category15,C
category340,high_category31,B
category330,high_category2,C
category341,high_category17,A
category335,high_category2,C
category328,high_category15,A
category327,high_category41,C
category343,high_category16,A
category342,high_category16,C
category329,high_category42,A
category326,high_category23,C
category333,high_category24,A
category332,high_category3,A
category338,high_category5,C
category336,high_category31,A
category345,high_category31,C
category347,high_category23,A
category346,high_category43,A
category348,high_category3,A
category349,high_category44,A
category350,high_category45,A
